age,equipment,Arousal_1
20.940000,6,0.394929
46.570000,6,0.412153
24.160000,6,0.235999
29.660000,6,0.500205
18.380000,6,0.331373
18.210000,6,0.296216
20.830000,6,0.296022
29.140000,6,0.286876
26.100000,6,0.203109
21.220000,6,0.250567
17.500000,6,0.373154
42.750000,6,0.359289
39.960000,6,0.346740
21.810000,6,0.368953
28.440000,6,0.273947
22.050000,6,1.782258
38.810000,6,0.406814
23.900000,6,0.479791
39.350000,6,0.290125
30.780000,6,0.278729
20.360000,6,0.243089
19.510000,6,0.221704
33.260000,6,0.280944
56.760000,6,0.292179
34.130000,6,0.314283
20.400000,6,0.245226
36.490000,6,0.282863
21.390000,6,0.350204
44.610000,6,1.354905
41.290000,6,0.417194
28.380000,6,0.338470
30.740000,6,0.429578
29.060000,6,0.316565
43.170000,6,0.390850
25.830000,6,0.383684
42.070000,6,0.305130
36.810000,6,0.166953
25.730000,6,0.291414
24.330000,6,0.252474
55.460000,6,0.453003
53.020000,6,0.311430
52.030000,6,0.816282
44.890000,6,0.350441
42.310000,6,0.271948
42.360000,6,0.251390
42.150000,6,0.291648
42.240000,6,0.180730
42.150000,6,0.379039
40.470000,6,0.301379
31.010000,6,0.338428
40.230000,6,0.435399
40.570000,6,0.261829
39.430000,6,0.357928
39.230000,6,0.405188
39.140000,6,0.242384
39.660000,6,0.447022
39.490000,6,0.447975
37.180000,6,0.253397
37.030000,6,0.347555
36.650000,6,0.358537
36.550000,6,0.337774
36.420000,6,0.419874
36.230000,6,0.222663
36.520000,6,0.303390
36.210000,6,0.371860
35.980000,6,2.524804
36.000000,6,0.289111
35.470000,6,0.366525
35.130000,6,0.314977
35.470000,6,0.281290
35.707600,6,0.264296
34.530000,6,0.397860
34.420000,6,0.188533
34.310000,6,0.207977
34.600000,6,0.292475
34.160000,6,0.294350
34.150000,6,0.358599
33.290000,6,0.381852
33.400000,6,0.244521
32.860000,6,0.336649
32.610000,6,0.452364
33.280000,6,0.313009
33.370000,6,0.354546
