"variable","pct_outside","n_valid","family","transform_used"
"TBR_1",4.42,1291,"NO","none"
"TBR_2",4.03,1291,"NO","none"
"TBR_3",4.65,1291,"NO","none"
"TBR_4",5.58,1291,"NO","none"
"TBR_5",4.57,1291,"NO","none"
"TBR_6",4.57,1291,"NO","none"
"TBR_7",5.19,1291,"NO","none"
"TBR_8",5.42,1291,"NO","none"
"TBR_9",5.27,1291,"NO","none"
"TBR_10",4.49,1291,"NO","none"
"TBR_11",5.19,1291,"NO","none"
"TBR_12",4.65,1291,"NO","none"
"TBR_13",5.11,1291,"NO","none"
"TBR_14",4.57,1291,"NO","none"
"TBR_15",5.11,1291,"NO","none"
"TBR_16",5.03,1291,"NO","none"
"TBR_17",5.73,1291,"NO","none"
"TBR_18",5.19,1291,"NO","none"
"TBR_19",5.27,1291,"NO","none"
